id,key,name,owner,controller,cores,region,continent,population_m,tax_income,production_income,trade_income,urbanization,culture,religion,ideology,terrain,climate,is_coastal,has_port,infrastructure,industry,development,trade_node,trade_power,resource,resource_output,unrest,autonomy,buildings,modifiers,neighbors
301,jpn_hokkaido,Hokkaido,JPN,JPN,JPN,northern_japan,asia,5.2,4,6,5,82,japanese,shinto,democratic,plains,cold,1,1,78,52,70,japan_trade,55,fish,72,4,5,fishing_ports|cold_storage|regional_harbor,seafood_exports:1.15,302
302,jpn_aichi,Aichi,JPN,JPN,JPN,central_japan,asia,7.5,8,14,12,96,japanese,shinto,democratic,urban,temperate,1,1,95,96,94,japan_trade,110,vehicles,88,5,3,vehicle_plants|highway_network|major_port,automotive_exports:1.35,301
303,twn_hsinchu,Hsinchu,TWN,TWN,TWN,northern_taiwan,asia,2.3,9,20,18,97,chinese,buddhist,democratic,urban,subtropical,1,1,99,100,98,taiwan_trade,135,semiconductors,95,3,2,chip_fabs|science_park|tech_university,silicon_cluster:1.5,304
304,usa_new_york,New York,USA,USA,USA,northeastern_usa,north_america,19.5,14,10,22,100,american,christian,democratic,urban,temperate,1,1,98,88,97,atlantic_trade,145,financial_services,92,10,5,stock_exchange|mega_port|financial_center,global_finance:1.45,305
305,usa_washington,Washington State,USA,USA,USA,pacific_northwest,north_america,7.9,8,16,14,91,american,christian,democratic,mountains,temperate,1,1,92,90,90,pacific_trade,115,aerospace,84,5,6,aerospace_complex|major_port|research_lab,aviation_exports:1.3,304
306,deu_baden_wurttemberg,Baden-Wurttemberg,DEU,DEU,DEU,southern_germany,europe,11.3,9,18,15,89,german,christian,democratic,hills,temperate,0,0,96,94,93,rhine_trade,118,machinery,90,4,4,industrial_parks|rail_hub|engineering_universities,precision_engineering:1.4,307
307,deu_rhineland_palatinate,Rhineland-Palatinate,DEU,DEU,DEU,western_germany,europe,4.1,6,13,10,84,german,christian,democratic,hills,temperate,0,1,88,85,82,rhine_trade,82,chemicals,78,5,5,chemical_plants|river_ports|logistics_centers,chemical_exports:1.25,306
308,chn_shenzhen,Shenzhen,CHN,CHN,CHN,southern_china,asia,17.8,10,22,21,100,han,chinese_folk,state_capitalist,urban,subtropical,1,1,100,100,99,south_china_trade,155,electronics,98,7,8,mega_port|electronics_cluster|special_economic_zone,hardware_exports:1.45,309
309,chn_dongguan,Dongguan,CHN,CHN,CHN,southern_china,asia,10.5,7,17,16,95,han,chinese_folk,state_capitalist,urban,subtropical,1,1,94,96,90,south_china_trade,122,telecom_equipment,89,8,10,factory_zones|export_hubs|industrial_ports,telecom_supply_chain:1.35,308
310,idn_bali,Bali,IDN,IDN,IDN,lesser_sunda_islands,asia,4.4,5,8,15,78,indonesian,muslim,democratic,islands,tropical,1,1,74,48,72,malacca_trade,80,tourism,86,6,7,resorts|international_airport|tourism_services,tourism_income:1.4,0
311,sau_eastern_province,Eastern Province,SAU,SAU,SAU,arabian_gulf,asia,5.1,12,28,20,88,arab,muslim,monarchy,desert,arid,1,1,90,82,91,gulf_trade,140,oil,100,7,12,oil_fields|export_terminals|refineries,petroleum_exports:1.6,312
312,rus_yamal,Yamal-Nenets,RUS,RUS,RUS,western_siberia,europe_asia,0.5,6,22,16,58,russian,orthodox,authoritarian,tundra,arctic,1,1,70,65,72,arctic_trade,95,natural_gas,98,4,15,gas_fields|pipelines|lng_terminals,gas_exports:1.5,311
313,ind_jamnagar,Jamnagar,IND,IND,IND,western_india,asia,2.1,8,22,17,81,indian,hindu,democratic,coastal,tropical,1,1,90,93,84,indian_ocean_trade,118,refined_fuels,97,5,5,mega_refineries|export_terminals|petrochemical_complex,fuel_exports:1.5,314
314,chn_hebei,Hebei,CHN,CHN,CHN,northern_china,asia,74.0,9,18,14,83,han,chinese_folk,state_capitalist,plains,temperate,1,1,88,97,84,north_china_trade,118,steel,95,9,9,steel_mills|rail_network|industrial_zones,steel_exports:1.35,315
315,chn_shanxi,Shanxi,CHN,CHN,CHN,northern_china,asia,34.0,6,14,10,72,han,chinese_folk,state_capitalist,hills,continental,0,0,76,82,70,north_china_trade,88,coal,97,10,11,coal_mines|rail_hubs|power_plants,coal_energy_base:1.3,314
316,bra_minas_gerais,Minas Gerais,BRA,BRA,BRA,southeast_brazil,south_america,21.0,7,15,11,79,brazilian,christian,democratic,hills,tropical,0,0,80,86,78,atlantic_trade,92,iron,90,7,7,iron_mines|railways|steel_complex,mineral_exports:1.3,317
317,chl_antofagasta,Antofagasta,CHL,CHL,CHL,northern_chile,south_america,0.7,5,12,10,81,latin,christian,democratic,desert,arid,1,1,82,74,76,pacific_trade,85,copper,96,5,5,copper_mines|export_port|processing_facilities,copper_exports:1.45,316
318,cod_katanga,Katanga,COD,COD,COD,southern_congo,africa,16.0,4,14,8,45,bantu,christian,authoritarian,savanna,tropical,0,0,42,58,48,central_africa_trade,70,rare_metals,94,18,22,cobalt_mines|mining_towns|export_corridors,critical_minerals:1.5,319
319,can_british_columbia,British Columbia,CAN,CAN,CAN,western_canada,north_america,5.6,6,11,9,80,canadian,christian,democratic,mountains,cold,1,1,84,68,79,pacific_trade,78,timber,88,4,4,logging_camps|sawmills|deepwater_ports,timber_exports:1.25,320
320,idn_sumatra,Sumatra,IDN,IDN,IDN,western_indonesia,asia,60.0,6,10,9,63,indonesian,muslim,democratic,jungle,tropical,1,1,66,52,64,malacca_trade,74,tropical_agriculture,91,7,9,plantations|river_ports|processing_centers,plantation_exports:1.3,319
321,usa_california,California,USA,USA,USA,western_usa,north_america,39.0,16,24,26,98,american,christian,democratic,coastal,mediterranean,1,1,100,97,100,pacific_trade,165,software_ai,96,8,3,tech_campuses|venture_capital|research_universities,silicon_valley:1.6,322
322,usa_texas_arms,Texas,USA,USA,USA,southern_usa,north_america,30.0,11,19,16,89,american,christian,democratic,plains,subtropical,1,1,92,88,87,gulf_trade,118,arms,82,7,5,military_factories|testing_ranges|logistics_hubs,defense_industry:1.35,321
323,bgd_dhaka,Dhaka,BGD,BGD,BGD,central_bangladesh,asia,24.0,6,17,18,82,bengali,muslim,democratic,urban,tropical,1,1,78,88,74,indian_ocean_trade,116,textiles,96,9,8,garment_factories|river_ports|export_zones,garment_exports:1.45,324
324,chn_zhejiang,Zhejiang,CHN,CHN,CHN,eastern_china,asia,65.0,10,21,20,93,han,chinese_folk,state_capitalist,urban,temperate,1,1,96,95,92,east_china_trade,138,consumer_goods,90,6,6,consumer_factories|container_ports|ecommerce_hubs,manufacturing_exports:1.4,323
